Key,English,Azərbaycan,Type,Component,Priority,Notes
auth_welcome_title,Welcome,Xoş gəldiniz,title,Login,critical,Login page main heading
auth_welcome_desc,Please login to your account,Hesabınıza daxil olun,description,Login,critical,Login subtitle
auth_or,OR,VƏ YA,label,Login/Register,critical,Divider text between login options
auth_user_type,User,İstifadəçi,label,Login,critical,User type option
auth_influencer_type,Influencer,Influencer,label,Login,critical,Influencer type option
auth_email_label,Email,Email,label,Login/Register,critical,Email field label
auth_password_label,Password,Şifrə,label,Login/Register,critical,Password field label
auth_forgot_password,Forgot password?,Şifrəni unutdunuz?,link,Login,critical,Forgot password link
auth_login_button,Login,Daxil Ol,button,Login,critical,Login form submit button
auth_no_account,Don't have an account?,Hesabınız yoxdur?,text,Login,critical,Prompt to register
auth_register_button,Register,Qeydiyyat Ol,button,Login/Register,critical,Register button
auth_register_title,Create Your Account,Hesab Yaradın,title,Register,critical,Register page title
auth_register_desc,Join us today,Bizə bu gün qoşulun,description,Register,critical,Register subtitle
auth_email_invalid,Please enter a valid email,Düzgün email daxil edin,error,Register,critical,Email validation error
auth_email_required,Email is required,Email tələb olunur,error,Register,critical,Email required error
auth_password_required,Password is required,Şifrə tələb olunur,error,Register,critical,Password required error
auth_password_min,Password must be at least 6 characters,Şifrə minimum 6 simvol olmalıdır,error,Register,critical,Password length validation
auth_name_required,Name is required,Ad tələb olunur,error,Register,critical,Name required error
auth_phone_required,Phone number is required,Telefon nömrəsi tələb olunur,error,Register,critical,Phone required error
auth_phone_invalid,Phone must be 9 digits,Telefon nömrəsi 9 rəqəm olmalıdır,error,Register,critical,Phone format validation
auth_fin_code_required,FIN code is required,FIN kod tələb olunur,error,Register,critical,FIN code required error
auth_fin_code_invalid,FIN code must be 7 characters,FIN kod 7 simvol olmalıdır,error,Register,critical,FIN code format validation
auth_gender_required,Gender is required,Cins tələb olunur,error,Register,critical,Gender required error
auth_birthday_required,Date of birth is required,Doğum tarixi tələb olunur,error,Register,critical,Birthday required error
